Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated,Country Label
CN,池州市,池州学院,"30.6618,117.47",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
BR,Jundiaí,Jundiaí,"-23.19200374,-46.89709727",NO2,Sao Paulo CETESB,µg/m³,23.0,2021-08-06T14:00:00+02:00,Brazil
CN,嘉峪关市,雄关区,"39.7724,98.2643",SO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,阜新市,长青街,"42.0279,121.6697",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,平度市,2号,"36.799,119.976",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,阿拉善盟,西城区西花园(对照点),"38.8363,105.6467",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,乌兰察布市,集宁新区,"40.9923,113.1306",SO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,柳州市,市四中,"24.2921,109.4311",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,淮南市,师范学院,"32.6524,117.0067",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,防城港市,防城档案局,"21.7731,108.3514",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
TH,Nan,"Municipality Office, Nan","18.788878,100.776359",PM2.5,Air4Thai,µg/m³,23.0,2021-08-06T14:00:00+02:00,Thailand
BR,Limeira,Limeira,"-22.56360378,-47.41431403",PM2.5,Sao Paulo CETESB,µg/m³,23.0,2021-08-06T14:00:00+02:00,Brazil
CN,上海市,虹口,"31.3008,121.467",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,汕头市,龙湖子站,"23.3633,116.7244",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,鞍山市,太平,"41.1442,123.0485",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,湘潭市,市监测站,"27.8403,112.9118",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,九江市,十里,"29.6815,115.9872",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,洛阳市,吉利监测站,"34.8993,112.5736",SO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
IT,Viterbo,IT0863A,"42.42194,12.10917",NO2,EEA Italy,µg/m³,23.0,2021-08-06T13:00:00+02:00,Italy
CN,平凉市,博物馆,"35.5307,106.7021",NO2,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
CN,沈阳市,文化路,"41.7653,123.4114",PM2.5,ChinaAQIData,µg/m³,23.0,2021-08-06T13:00:00+02:00,China
IT,Varese,IT1588A,"45.816944,8.820278",NO2,EEA Italy,µg/m³,23.09256,2021-08-06T13:00:00+02:00,Italy
PL,Katowice,"Katowice, ul. Plebiscytowa/A4","50.246795,19.019469",NO2,GIOS,µg/m³,23.1842,2021-08-06T14:00:00+02:00,Poland
